,name,Distance_from_earth,star_mass,star_radius,gravity
0,2MASS J00242463-0158201,37.7,79.0,1.09,70.22135143343868
1,2MASS J00345157+0523050,31.0,42.0,0.94,146.80048853071696
2,2MASSW J0045214+163445,57.0,23.0,1.62,139.25689713514737
3,2MASS J00584253-0651239 [de],96.0,29.0,1.43,86.05747475795116
4,CFBDS J005910.90–011401.3,30.0,23.0,0.0,69.72448780697721
5,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,139.25689713514737
6,2MASS J02431371−2453298,35.0,33.0,0.99,75.7650710452217
7,WISE J0254+0223,24.0,65.0,1.9,62.92151757539382
8,DEN 0255-4700,16.2,80.0,0.97,74.83258674604448
9,2MASS J03185403-3421292 [de],45.0,49.0,0.97,133.3571575303209
10,2MASS J03284265+2302051 [de],98.0,54.0,0.98,176.80597843020425
11,2MASS J03341218-4953322,27.0,73.0,1.04,176.80597843020425
12,2MASS J03552337+1133437,29.8,20.0,1.32,81.96009462721987
13,2MASS J04285096-2253227 [de],85.0,80.0,1.09,104.58673171046581
14,2MASS J04510093-3402150 [de],69.0,1.04,72.0,37.79809228499186
15,2MASS J05012406-0010452 [de],64.0,21.0,1.38,112.7127184666662
16,SDSS J053951.99-005902.0,41.62,61.0,1.01,98.67859240893154
17,WISEP J061135.13-041024.0A,69.0,65.0,0.0,0.0
18,WISEP J061135.13-041024.0B,69.0,53.0,0.0,68.1825857599896
19,2MASS J06411840-4322329 [de],65.0,67.0,1.01,0.0019699678460896215
20,2MASS J07075327-4900503,60.0,72.0,1.03,108.28091403546271
21,2MASS J07290002-3954043 [de],25.8,37.0,0.94,0.0
22,DENIS-P J0751164-253043 [de],55.0,71.0,1.03,138.29631151292534
23,2MASS J07522390+1612157,60.0,2.01,68.0,163.65168950791914
24,DENIS J081730.0-615520,16.1,44.0,0.94,0.0
25,DENIS J082303.1−491201A,67.0,44.0,0.0,0.0
26,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,265.83489468264776
27,2MASSI J0937347+293142,20.0,42.0,0.94,0.004268438448520778
28,2MASS J09490860-1545485 [de],59.0,49.0,0.96,0.0
29,2MASS J10073369-4555147,46.0,44.0,0.94,0.0
30,2MASSI J1217110-031113 [de],36.0,42.0,0.94,133.3571575303209
31,2MASS J13595510-4034582,51.0,63.0,1.0,61.886723478471055
32,ULAS J141623.94+134836.3,29.7,32.0,0.96,24.24575810571842
33,DENIS-P J142527.97-365023.4 [de],38.0,21.0,1.32,0.0
34,LHS 2924,38.5,76.0,1.06,57.47644920352734
35,LSPM J1440+1339,72.0,92.0,1.19,60.864867971999736
36,2MASS J14482563+1031590 [de],47.0,59.0,0.99,161.47674898408465
37,TVLM 513-46546,35.1,75.0,1.05,57.08835011041733
38,2MASSW J1506544+132106 [de],46.0,69.0,1.02,0.031422502505011066
39,SDSSp J162414.37+002915.6 [de],36.0,43.0,0.94,118.3483543899995
40,2MASS J18283572-4849046,39.0,45.0,0.95,48.4430246952254
41,LSR J1835+3259,18.5,77.0,1.07,52.293365855232906
42,2MASS J22373255+3922398,64.0,73.0,1.04,144.05885910532487
43,WISE 1217+1626A,34.2,12.0,0.0,120.23916774876687
